client_id,round,Data_Distribution,Computation_Time,Quality_Factor
client_11,6,"{0: 347, 1: 395, 2: 319, 3: 321, 4: 345, 5: 290, 6: 361, 7: 362, 8: 330, 9: 352}",1.2102057933807373,0.9257000088691711
client_12,6,"{0: 321, 1: 358, 2: 367, 3: 352, 4: 337, 5: 313, 6: 339, 7: 360, 8: 333, 9: 342}",1.2165842056274414,0.9257000088691711
client_13,6,"{0: 343, 1: 399, 2: 322, 3: 336, 4: 349, 5: 290, 6: 322, 7: 333, 8: 390, 9: 338}",1.178513765335083,0.9247999787330627
client_14,6,"{0: 334, 1: 437, 2: 336, 3: 341, 4: 347, 5: 326, 6: 309, 7: 335, 8: 326, 9: 331}",1.2699687480926514,0.9291999936103821
client_15,6,"{0: 348, 1: 382, 2: 339, 3: 317, 4: 328, 5: 320, 6: 321, 7: 363, 8: 363, 9: 341}",1.1984753608703613,0.9261999726295471
client_16,6,"{0: 366, 1: 417, 2: 355, 3: 336, 4: 343, 5: 285, 6: 323, 7: 343, 8: 312, 9: 342}",1.36952543258667,0.9287999868392944
client_17,6,"{0: 327, 1: 410, 2: 340, 3: 363, 4: 328, 5: 303, 6: 337, 7: 340, 8: 313, 9: 361}",1.2211787700653076,0.9298999905586243
client_18,6,"{0: 343, 1: 354, 2: 380, 3: 327, 4: 338, 5: 303, 6: 355, 7: 375, 8: 305, 9: 342}",1.1813530921936035,0.9280999898910522
client_19,6,"{0: 326, 1: 410, 2: 337, 3: 355, 4: 286, 5: 322, 6: 331, 7: 384, 8: 323, 9: 348}",1.266756296157837,0.9291999936103821
client_20,6,"{0: 358, 1: 414, 2: 347, 3: 348, 4: 341, 5: 296, 6: 308, 7: 366, 8: 310, 9: 334}",1.2091915607452393,0.9280999898910522
client_1,7,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.5762913227081299,0.9286999702453613
client_2,7,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.46126365661621094,0.9200000166893005
client_3,7,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7319803237915039,0.9300000071525574
client_4,7,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.41480565071105957,0.9311000108718872
client_5,7,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",1.62272310256958,0.9314000010490417
client_6,7,"{0: 306, 1: 396, 2: 315, 3: 364, 4: 344, 5: 283, 6: 369, 7: 364, 8: 305, 9: 376}",1.186002254486084,0.9283999800682068
client_7,7,"{0: 333, 1: 366, 2: 335, 3: 343, 4: 320, 5: 302, 6: 349, 7: 364, 8: 369, 9: 341}",1.24452805519104,0.9327999949455261
client_8,7,"{0: 311, 1: 405, 2: 318, 3: 352, 4: 327, 5: 326, 6: 348, 7: 374, 8: 330, 9: 331}",1.2389802932739258,0.9311000108718872
client_9,7,"{0: 320, 1: 362, 2: 365, 3: 343, 4: 351, 5: 328, 6: 358, 7: 347, 8: 337, 9: 311}",1.17289137840271,0.9259999990463257
client_10,7,"{0: 340, 1: 407, 2: 343, 3: 333, 4: 348, 5: 284, 6: 318, 7: 365, 8: 345, 9: 339}",1.2391290664672852,0.9316999912261963
client_11,7,"{0: 347, 1: 395, 2: 319, 3: 321, 4: 345, 5: 290, 6: 361, 7: 362, 8: 330, 9: 352}",1.2658965587615967,0.9297000169754028
client_12,7,"{0: 321, 1: 358, 2: 367, 3: 352, 4: 337, 5: 313, 6: 339, 7: 360, 8: 333, 9: 342}",1.2410717010498047,0.9289000034332275
