run_id,round,client_id,Data_Distribution,Computation_Time,Quality_Factor,cpu_utilization,memory_utilization,memory_used_mb,gpu_memory_used_mb,gpu_utilization,availability_flag,dataset,task_type,model_type,learning_rate,batch_size,local_epochs
mnist_123_20251105_190127,2,client_19,"{0: 326, 1: 410, 2: 337, 3: 355, 4: 286, 5: 322, 6: 331, 7: 384, 8: 323, 9: 348}",1.2705116271972656,0.9034000039100647,15.5,66.6,21624.87109375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,2,client_20,"{0: 358, 1: 414, 2: 347, 3: 348, 4: 341, 5: 296, 6: 308, 7: 366, 8: 310, 9: 334}",1.1920394897460938,0.9014000296592712,16.35,66.6,21642.80859375,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_1,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.5689270496368408,0.9050999879837036,15.65,66.3,21552.45703125,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_2,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.47034454345703125,0.8802000284194946,14.55,66.35,21564.0625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_3,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7531406879425049,0.9077000021934509,13.1,66.4,21585.87890625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_4,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.4349966049194336,0.9035999774932861,14.55,66.45,21601.89453125,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_5,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",1.6808063983917236,0.9174000024795532,13.65,66.5,21606.78515625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_6,"{0: 306, 1: 396, 2: 315, 3: 364, 4: 344, 5: 283, 6: 369, 7: 364, 8: 305, 9: 376}",1.1602632999420166,0.9089000225067139,14.3,66.5,21614.56640625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_7,"{0: 333, 1: 366, 2: 335, 3: 343, 4: 320, 5: 302, 6: 349, 7: 364, 8: 369, 9: 341}",1.2496099472045898,0.9185000061988831,14.2,66.55,21630.625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
mnist_123_20251105_190127,3,client_8,"{0: 311, 1: 405, 2: 318, 3: 352, 4: 327, 5: 326, 6: 348, 7: 374, 8: 330, 9: 331}",1.1995348930358887,0.9117000102996826,13.8,66.6,21634.37890625,0.0,0.0,1,mnist,classification,cnn,0.01,32,3
