Client,Round,Computation_Time,Quality_Factor,Data_Distribution,Reliability_Score,DUM,SUM,HQS,SRS
client_1,5,0.5238969326019287,0.7132999897003174,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.6902900010347366,1,1,1,0
client_2,5,0.5409374237060547,0.7447999715805054,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.7016599923372269,1,1,1,1
client_3,5,0.8362886905670166,0.7897999882698059,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7634699881076813,1,1,0,1
client_4,5,0.4622623920440674,0.7272999882698059,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.7384599983692169,1,1,1,1
client_5,5,2.1550934314727783,0.7838000059127808,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",0.7617899954319001,0,0,0,1
client_6,5,0.6607048511505127,0.7347999811172485,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7279399931430817,1,1,1,1
client_7,5,0.6752438545227051,0.7138000130653381,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7173900067806244,1,1,1,1
client_8,5,0.6755428314208984,0.7760000228881836,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7515300035476684,1,1,1,1
client_9,5,0.661139726638794,0.7768999934196472,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7106000065803528,1,1,1,1
client_10,5,0.6613788604736328,0.7441999912261963,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.746780002117157,1,1,1,1
client_11,5,0.6698706150054932,0.7588000297546387,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7253500103950501,1,1,1,1
client_12,5,0.6678755283355713,0.7146000266075134,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.734060001373291,1,1,1,1
client_13,5,0.6547274589538574,0.7229999899864197,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7231400012969971,1,1,1,1
client_14,5,0.6698811054229736,0.6960999965667725,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7104599952697754,1,1,1,1
client_15,5,0.7089245319366455,0.765999972820282,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7250199973583221,1,1,1,1
client_16,5,0.7080986499786377,0.7414000034332275,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.722189998626709,1,1,1,1
client_17,5,0.7582147121429443,0.7731999754905701,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7362200021743774,1,1,1,1
client_18,5,0.7562994956970215,0.7195000052452087,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7274700045585633,1,1,1,1
client_19,5,0.7447006702423096,0.7074000239372253,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7412099957466125,1,1,1,1
client_20,5,0.7419395446777344,0.7512000203132629,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7249899983406067,1,1,1,1
client_1,6,0.5809626579284668,0.7383999824523926,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.6902900010347366,1,1,1,0
client_2,6,0.6852381229400635,0.7418000102043152,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.7016599923372269,1,1,1,1
client_3,6,1.0066568851470947,0.7598999738693237,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7634699881076813,1,1,1,1
client_4,6,0.5739631652832031,0.7824000120162964,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.7384599983692169,1,1,0,1
client_5,6,2.6257989406585693,0.7512999773025513,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",0.7617899954319001,0,0,1,1
client_6,6,0.6768372058868408,0.7476000189781189,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7279399931430817,1,1,1,1
client_7,6,0.6641805171966553,0.7687000036239624,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7173900067806244,1,1,1,1
client_8,6,0.6678626537322998,0.7089999914169312,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7515300035476684,1,1,1,1
